kepon_l01_zpc01   0 -1 1.5000000000E-05     
kepon_l02_zpc01   1 -1 2.3000000000E-04     
kepon_l03_zpc01   2 -1 1.0000000000E-06     
kepon_l04_zpc01   3 -1 1.0000000000E-06     
kepon_l05_zpc01   4 -1 1.0000000000E-06     
kepon_l06_zpc01   5 -1 1.0000000000E-06     
kepon_l07_zpc01   6 -1 1.0000000000E-06     
kepon_l08_zpc01   7 -1 1.0000000000E-06     
kepon_l09_zpc01   8 -1 1.0000000000E-06     
kepon_l10_zpc01   9 -1 1.0000000000E-06     
kepon_l11_zpc01  10 -1 1.0000000000E-06     
kepon_l12_zpc01  11 -1 1.0000000000E-06     
kepon_l13_zpc01  12 -1 1.0000000000E-06     
kepon_l14_zpc01  13 -1 1.0000000000E-06     
kepon_l15_zpc01  14 -1 1.0000000000E-06     
