Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date (Flux)    	Date (Flux)    	Température    	Fl_Pluie       	Fl_ETP         	Fl_ETR         	Fl_ETR_Sol     	Transpiration  	Stock_Neige    	Fl_Fonte_Neige 	Ruissell.      	Infiltrat.     	Défic_Évapotra 	Déficit_Sol    	Défi_Sol_2     	Réser_Interm.  	Cum_Pluie      	Cum_ETP        	Cum_ETR        	Cum_ETRSol     	Cum_Transpir   	Cum_Font_Neig  	Cum_Ruissel.   	Cum_Infilt     	Cum_Défic_Evap 	
31/07/1995 00:00	   212.0000    	   0.000000    	   0.000000    	   5.276807    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
01/08/1995 00:00	   213.0000    	   0.000000    	   0.000000    	   5.167745    	   0.000000    	   5.167299    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  1.0491428E-15	  -5.167299    	   4.855340    	  0.3119591    	   0.000000    	   0.000000    	   5.167745    	   0.000000    	   5.167299    	   0.000000    	   0.000000    	   0.000000    	  1.0491428E-15	  -5.167299    	
02/08/1995 00:00	   214.0000    	   0.000000    	   0.000000    	   6.400000    	   0.000000    	   6.395627    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  5.0128905E-15	  -6.395627    	   10.87562    	  0.6873057    	   0.000000    	   0.000000    	   11.56775    	   0.000000    	   11.56293    	   0.000000    	   0.000000    	   0.000000    	  6.0620333E-15	  -11.56293    	
03/08/1995 00:00	   215.0000    	   0.000000    	   0.000000    	   6.616828    	   0.000000    	   6.603142    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  3.2767748E-16	  -6.603142    	   17.09633    	   1.069736    	   0.000000    	   0.000000    	   18.18457    	   0.000000    	   18.16607    	   0.000000    	   0.000000    	   0.000000    	  6.3897108E-15	  -18.16607    	
04/08/1995 00:00	   216.0000    	   0.000000    	   0.000000    	   6.155663    	   0.000000    	   6.130233    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  9.7153497E-16	  -6.130233    	   22.88069    	   1.415610    	   0.000000    	   0.000000    	   24.34024    	   0.000000    	   24.29630    	   0.000000    	   0.000000    	   0.000000    	  7.3612457E-15	  -24.29630    	
05/08/1995 00:00	   217.0000    	   0.000000    	   0.000000    	   5.493528    	   0.000000    	   5.457868    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  6.6972677E-16	  -5.457868    	   28.04380    	   1.710372    	   0.000000    	   0.000000    	   29.83376    	   0.000000    	   29.75417    	   0.000000    	   0.000000    	   0.000000    	  8.0309725E-15	  -29.75417    	
06/08/1995 00:00	   218.0000    	   0.000000    	   24.87163    	   2.298382    	   0.000000    	   2.298382    	   0.000000    	   0.000000    	   0.000000    	  1.5601298E-05	      0.0026460	  -2.298382    	   6.792449    	   1.063776    	  0.6726412    	   24.87163    	   32.13215    	   0.000000    	   32.05255    	   0.000000    	   0.000000    	  1.5601298E-05	      0.0026460	  -32.05255    	
07/08/1995 00:00	   219.0000    	   0.000000    	   0.000000    	   2.209061    	   0.000000    	   2.201765    	   0.000000    	   0.000000    	   0.000000    	  4.6341916E-05	      0.0052640	  -2.201765    	   8.870658    	   1.187331    	  0.6673308    	   24.87163    	   34.34121    	   0.000000    	   34.25432    	   0.000000    	   0.000000    	  6.1943214E-05	      0.0079100	  -34.25432    	
08/08/1995 00:00	   220.0000    	   0.000000    	   0.000000    	   3.748004    	   0.000000    	   3.731478    	   0.000000    	   0.000000    	   0.000000    	  4.5611518E-05	      0.0052224	  -3.731478    	   12.39396    	   1.395508    	  0.6620628    	   24.87163    	   38.08921    	   0.000000    	   37.98579    	   0.000000    	   0.000000    	  1.0755473E-04	      0.0131325	  -37.98579    	
09/08/1995 00:00	   221.0000    	   0.000000    	   0.000000    	   4.788889    	   0.000000    	   4.759735    	   0.000000    	   0.000000    	   0.000000    	  4.4892700E-05	      0.0051811	  -4.759735    	   16.89806    	   1.651144    	  0.6568367    	   24.87163    	   42.87810    	   0.000000    	   42.74553    	   0.000000    	   0.000000    	  1.5244743E-04	      0.0183136	  -42.74553    	
