Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date           	Date           	Charge         	Charge         	Charge         	Débit          	Débit          	Débit          	Débit_Rivi     	Débit_Rivi     	Rabattem       	Rabattem       	Rabattem       	
hallue         	hallue         	X19_Y38        	X20_Y42        	X18_Y33        	X19_Y38        	X20_Y42        	X18_Y33        	X24_Y48        	X22_Y40        	X19_Y38        	X20_Y42        	X18_Y33        	
 <Date>        	 <Date>        	h_aqu_con      	h_agri         	h_aep          	q_con          	q_agri         	q_aep          	q_riv_con      	q_riv          	r_con          	r_agri         	r_aep          	
31/07/1995 00:00	   212.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
01/08/1995 00:00	   213.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
02/08/1995 00:00	   214.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
03/08/1995 00:00	   215.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
04/08/1995 00:00	   216.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
05/08/1995 00:00	   217.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
06/08/1995 00:00	   218.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
07/08/1995 00:00	   219.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
08/08/1995 00:00	   220.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
09/08/1995 00:00	   221.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
10/08/1995 00:00	   222.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
11/08/1995 00:00	   223.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
12/08/1995 00:00	   224.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
13/08/1995 00:00	   225.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
14/08/1995 00:00	   226.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
15/08/1995 00:00	   227.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
16/08/1995 00:00	   228.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
17/08/1995 00:00	   229.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
18/08/1995 00:00	   230.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
19/08/1995 00:00	   231.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
20/08/1995 00:00	   232.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
21/08/1995 00:00	   233.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
22/08/1995 00:00	   234.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
23/08/1995 00:00	   235.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
24/08/1995 00:00	   236.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
25/08/1995 00:00	   237.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
26/08/1995 00:00	   238.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
27/08/1995 00:00	   239.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
