Lizonne - Calcul hydrodynamique synchronisé avec édition hebdomadaire de historiq.prn	
2	31/07/2003
2	01/08/2003
0	02/08/2003
0	03/08/2003
0	04/08/2003
0	05/08/2003
0	06/08/2003
2	07/08/2003
0	08/08/2003
0	09/08/2003
0	10/08/2003
0	11/08/2003
0	12/08/2003
0	13/08/2003
2	14/08/2003
0	15/08/2003
0	16/08/2003
0	17/08/2003
0	18/08/2003
0	19/08/2003
0	20/08/2003
2	21/08/2003
0	22/08/2003
0	23/08/2003
0	24/08/2003
0	25/08/2003
0	26/08/2003
0	27/08/2003
2	28/08/2003
0	29/08/2003
0	30/08/2003
0	31/08/2003
0	01/09/2003
0	02/09/2003
0	03/09/2003
2	04/09/2003
0	05/09/2003
0	06/09/2003
0	07/09/2003
0	08/09/2003
0	09/09/2003
0	10/09/2003
2	11/09/2003
0	12/09/2003
0	13/09/2003
0	14/09/2003
0	15/09/2003
0	16/09/2003
0	17/09/2003
2	18/09/2003
0	19/09/2003
0	20/09/2003
0	21/09/2003
0	22/09/2003
0	23/09/2003
0	24/09/2003
2	25/09/2003
0	26/09/2003
0	27/09/2003
0	28/09/2003
0	29/09/2003
0	30/09/2003
0	01/10/2003
2	02/10/2003
0	03/10/2003
0	04/10/2003
0	05/10/2003
0	06/10/2003
0	07/10/2003
0	08/10/2003
2	09/10/2003
0	10/10/2003
0	11/10/2003
0	12/10/2003
0	13/10/2003
0	14/10/2003
0	15/10/2003
2	16/10/2003
0	17/10/2003
0	18/10/2003
0	19/10/2003
0	20/10/2003
0	21/10/2003
0	22/10/2003
2	23/10/2003
0	24/10/2003
0	25/10/2003
0	26/10/2003
0	27/10/2003
0	28/10/2003
0	29/10/2003
2	30/10/2003
0	31/10/2003
0	01/11/2003
0	02/11/2003
0	03/11/2003
0	04/11/2003
0	05/11/2003
2	06/11/2003
0	07/11/2003
0	08/11/2003
0	09/11/2003
0	10/11/2003
0	11/11/2003
0	12/11/2003
2	13/11/2003
0	14/11/2003
0	15/11/2003
0	16/11/2003
0	17/11/2003
0	18/11/2003
0	19/11/2003
2	20/11/2003
0	21/11/2003
0	22/11/2003
0	23/11/2003
0	24/11/2003
0	25/11/2003
0	26/11/2003
2	27/11/2003
0	28/11/2003
0	29/11/2003
0	30/11/2003
0	01/12/2003
0	02/12/2003
0	03/12/2003
2	04/12/2003
0	05/12/2003
0	06/12/2003
0	07/12/2003
0	08/12/2003
0	09/12/2003
0	10/12/2003
2	11/12/2003
0	12/12/2003
0	13/12/2003
0	14/12/2003
0	15/12/2003
0	16/12/2003
0	17/12/2003
2	18/12/2003
0	19/12/2003
0	20/12/2003
0	21/12/2003
0	22/12/2003
0	23/12/2003
0	24/12/2003
2	25/12/2003
0	26/12/2003
0	27/12/2003
0	28/12/2003
0	29/12/2003
0	30/12/2003
0	31/12/2003
2	01/01/2004
0	02/01/2004
0	03/01/2004
0	04/01/2004
0	05/01/2004
0	06/01/2004
0	07/01/2004
2	08/01/2004
0	09/01/2004
0	10/01/2004
0	11/01/2004
0	12/01/2004
0	13/01/2004
0	14/01/2004
2	15/01/2004
0	16/01/2004
0	17/01/2004
0	18/01/2004
0	19/01/2004
0	20/01/2004
0	21/01/2004
2	22/01/2004
0	23/01/2004
0	24/01/2004
0	25/01/2004
0	26/01/2004
0	27/01/2004
0	28/01/2004
2	29/01/2004
0	30/01/2004
0	31/01/2004
0	01/02/2004
0	02/02/2004
0	03/02/2004
0	04/02/2004
2	05/02/2004
0	06/02/2004
0	07/02/2004
0	08/02/2004
0	09/02/2004
0	10/02/2004
0	11/02/2004
2	12/02/2004
0	13/02/2004
0	14/02/2004
0	15/02/2004
0	16/02/2004
0	17/02/2004
0	18/02/2004
2	19/02/2004
0	20/02/2004
0	21/02/2004
0	22/02/2004
0	23/02/2004
0	24/02/2004
0	25/02/2004
2	26/02/2004
0	27/02/2004
0	28/02/2004
0	29/02/2004
0	01/03/2004
0	02/03/2004
0	03/03/2004
2	04/03/2004
0	05/03/2004
0	06/03/2004
0	07/03/2004
0	08/03/2004
0	09/03/2004
0	10/03/2004
2	11/03/2004
0	12/03/2004
0	13/03/2004
0	14/03/2004
0	15/03/2004
0	16/03/2004
0	17/03/2004
2	18/03/2004
0	19/03/2004
0	20/03/2004
0	21/03/2004
0	22/03/2004
0	23/03/2004
0	24/03/2004
2	25/03/2004
0	26/03/2004
0	27/03/2004
0	28/03/2004
0	29/03/2004
0	30/03/2004
0	31/03/2004
2	01/04/2004
0	02/04/2004
0	03/04/2004
0	04/04/2004
0	05/04/2004
0	06/04/2004
0	07/04/2004
2	08/04/2004
0	09/04/2004
0	10/04/2004
0	11/04/2004
0	12/04/2004
0	13/04/2004
0	14/04/2004
2	15/04/2004
0	16/04/2004
0	17/04/2004
0	18/04/2004
0	19/04/2004
0	20/04/2004
0	21/04/2004
2	22/04/2004
0	23/04/2004
0	24/04/2004
0	25/04/2004
0	26/04/2004
0	27/04/2004
0	28/04/2004
2	29/04/2004
0	30/04/2004
0	01/05/2004
0	02/05/2004
0	03/05/2004
0	04/05/2004
0	05/05/2004
2	06/05/2004
0	07/05/2004
0	08/05/2004
0	09/05/2004
0	10/05/2004
0	11/05/2004
0	12/05/2004
2	13/05/2004
0	14/05/2004
0	15/05/2004
0	16/05/2004
0	17/05/2004
0	18/05/2004
0	19/05/2004
2	20/05/2004
0	21/05/2004
0	22/05/2004
0	23/05/2004
0	24/05/2004
