<< La légende des termes est placée à la fin du fichier >>
 Projet Modifié (Lizonne.rma) [V7.8a]
Date (Flux)	Date (Flux)	Température	Flux_Pluie	Flux_Neige	Flux_ETP	Flux_ETR	Fl_ETR_Sol	Transpiration	Stock_Neige	Fl_Fonte_Neige	Ruissellement	Infiltration	Défic_Évapotra	Déficit_Sol	Défic_Sol_Prog	Réser_Interm.	Cum_Pluie	Cum_Neige	Cum_ETP	Cum_ETR	Cum_ETRSol	Cum_Transpir	Cum_Font_Neig	Cum_Ruissel.	Cum_Infiltr	Cum_Défic_Evap	LAI_ou_CC	Profon_Racines	
31/07/2003	   212.0000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
01/08/2003	   213.0000    	   0.000000    	   0.000000    	   0.000000    	   6.245492    	   6.243112    	   6.243112    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   6.243112    	   0.000000    	   0.000000    	   0.000000    	   6.245492    	   6.243112    	   6.243112    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
07/08/2003	   219.0000    	   0.000000    	      0.0225245	   0.000000    	   6.085859    	   5.750616    	   5.750616    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   46.08602    	   0.000000    	  0.1595065    	   0.000000    	   47.24527    	   46.24552    	   46.24552    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
14/08/2003	   226.0000    	   0.000000    	  0.1803227    	   0.000000    	   4.678108    	   3.792564    	   3.792564    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   83.74321    	   0.000000    	  0.7169567    	   0.000000    	   91.06938    	   84.46017    	   84.46017    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
21/08/2003	   233.0000    	   0.000000    	   0.000000    	   0.000000    	   4.382252    	   3.533158    	   3.533158    	   0.000000    	   0.000000    	   0.000000    	      0.0279433	      0.0496073	   0.000000    	   0.000000    	   83.51845    	   5.640899    	   29.89627    	   0.000000    	   117.6068    	   107.5693    	   107.5693    	   0.000000    	   0.000000    	      0.0643689	  0.1401469    	   0.000000    	   0.000000    	   0.000000    	
28/08/2003	   240.0000    	   0.000000    	   1.879595    	   0.000000    	   2.196647    	   1.901542    	   1.901542    	   0.000000    	   0.000000    	   0.000000    	      0.0236372	      0.0430550	   0.000000    	   0.000000    	   100.3245    	   5.280220    	   35.32474    	   0.000000    	   145.3907    	   129.6703    	   129.6703    	   0.000000    	   0.000000    	  0.2410651    	  0.4577075    	   0.000000    	   0.000000    	   0.000000    	
04/09/2003	   247.0000    	   0.000000    	  0.5355267    	   0.000000    	   3.333439    	   2.503242    	   2.503242    	   0.000000    	   0.000000    	   0.000000    	      0.0545484	      0.0658680	   0.000000    	   0.000000    	   104.2937    	   8.078250    	   54.09361    	   0.000000    	   169.6687    	   148.7647    	   148.7647    	   0.000000    	   0.000000    	  0.6223197    	  0.9220230    	   0.000000    	   0.000000    	   0.000000    	
11/09/2003	   254.0000    	   0.000000    	  0.3037963    	   0.000000    	   3.083803    	   2.444021    	   2.444021    	   0.000000    	   0.000000    	   0.000000    	  0.1137545    	  0.1113517    	   0.000000    	   0.000000    	   91.12995    	   12.41894    	   87.43034    	   0.000000    	   185.1577    	   163.2608    	   163.2608    	   0.000000    	   0.000000    	   1.279260    	   1.601335    	   0.000000    	   0.000000    	   0.000000    	
18/09/2003	   261.0000    	   0.000000    	   0.000000    	   0.000000    	   4.500601    	   2.988928    	   2.988928    	   0.000000    	   0.000000    	   0.000000    	      0.0877886	      0.0933971	   0.000000    	   0.000000    	   111.2220    	   11.02776    	   87.60307    	   0.000000    	   213.6476    	   183.5255    	   183.5255    	   0.000000    	   0.000000    	   1.965917    	   2.305853    	   0.000000    	   0.000000    	   0.000000    	
25/09/2003	   268.0000    	   0.000000    	      0.0347991	   0.000000    	   3.288548    	   2.040366    	   2.040366    	   0.000000    	   0.000000    	   0.000000    	      0.0806724	      0.0869535	   0.000000    	   0.000000    	   119.2320    	   10.61501    	   98.93195    	   0.000000    	   239.2789    	   202.0657    	   202.0657    	   0.000000    	   0.000000    	   2.550465    	   2.932865    	   0.000000    	   0.000000    	   0.000000    	
