Date	value
2003-09-10	78.31
2003-12-03	80.0
2004-03-08	79.49
2004-09-15	78.31
2004-12-08	78.47
2005-03-23	78.68
2005-06-22	75.39
2005-09-14	77.5
2005-12-07	78.57
2006-03-15	84.45
2006-08-30	78.01
2006-12-11	83.39
2007-03-26	80.95
2007-06-18	81.56
2007-09-11	78.68
2007-12-17	79.89
2008-06-24	76.98
2008-09-16	78.82
2008-12-18	81.29
2009-03-16	79.45
2009-06-18	79.8
2009-09-23	78.25
2009-12-15	80.75
2010-03-22	79.74
2010-05-25	79.42
2010-09-22	78.08
2010-12-20	79.6
2011-03-22	79.09
2011-06-26	73.99
2011-09-26	77.54
2011-12-15	78.3
2012-06-27	79.03
2012-09-26	77.74
2012-12-19	83.53
2013-03-27	80.66
2013-06-26	82.28
2013-09-24	78.55
2013-12-17	79.3
2014-03-26	81.51
2014-06-24	79.72
2014-09-24	78.82
2014-12-17	79.44
2015-03-25	80.15
2015-06-24	76.11
2015-09-23	78.15
2015-12-15	78.16
2016-03-02	81.42
2016-06-22	80.62
2016-09-27	78.01
2016-12-19	78.37
2017-03-29	80.25
2017-06-29	83.95
2017-09-27	77.9
2017-12-05	77.85
2018-03-29	81.92
2018-06-21	81.49
2018-09-18	78.43
2018-12-20	80.83
2019-03-26	79.23
2019-06-25	78.97
