Date (TU)	value
2003-07-31	0.066
2003-08-01	0.061
2003-08-02	0.059
2003-08-03	0.051
2003-08-04	0.049
2003-08-05	0.045
2003-08-06	0.044
2003-08-07	0.044
2003-08-08	0.042
2003-08-09	0.038
2003-08-10	0.034
2003-08-11	0.034
2003-08-12	0.033
2003-08-13	0.032
2003-08-14	0.029
2003-08-15	0.03
2003-08-16	0.03
2003-08-17	0.033
2003-08-18	0.034
2003-08-19	0.033
2003-08-20	0.078
2003-08-21	0.068
2003-08-22	0.057
2003-08-23	0.049
2003-08-24	0.046
2003-08-25	0.041
2003-08-26	0.039
2003-08-27	0.036
2003-08-28	0.034
2003-08-29	0.034
2003-08-30	0.04
2003-08-31	0.054
2003-09-01	0.048
2003-09-02	0.043
2003-09-03	0.038
2003-09-04	0.035
2003-09-05	0.036
2003-09-06	0.035
2003-09-07	0.034
2003-09-08	0.047
2003-09-09	0.062
2003-09-10	0.054
2003-09-11	0.048
2003-09-12	0.043
2003-09-13	0.051
2003-09-14	0.043
2003-09-15	0.036
2003-09-16	0.032
2003-09-17	0.031
2003-09-18	0.031
2003-09-19	0.031
2003-09-20	0.028
2003-09-21	0.027
2003-09-22	0.053
2003-09-23	0.068
2003-09-24	0.044
2003-09-25	0.036
2003-09-26	0.036
2003-09-27	0.039
2003-09-28	0.036
2003-09-29	0.036
2003-09-30	0.036
2003-10-01	0.036
2003-10-02	0.043
2003-10-03	0.046
2003-10-04	0.057
2003-10-05	0.062
2003-10-06	0.053
2003-10-07	0.054
2003-10-08	0.053
2003-10-09	0.052
2003-10-10	0.051
2003-10-11	0.049
2003-10-12	0.047
2003-10-13	0.046
2003-10-14	0.051
2003-10-15	0.055
2003-10-16	0.049
2003-10-17	0.047
2003-10-18	0.047
2003-10-19	0.045
2003-10-20	0.071
2003-10-21	0.088
2003-10-22	0.073
2003-10-23	0.074
2003-10-24	0.094
2003-10-25	0.077
2003-10-26	0.071
2003-10-27	0.069
2003-10-28	0.069
2003-10-29	0.139
2003-10-30	0.287
2003-10-31	0.555
2003-11-01	0.399
2003-11-02	0.246
2003-11-03	0.203
2003-11-04	0.177
2003-11-05	0.156
