Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date           	Date           	Entr_Limit     	Sort_Limit     	Entr_Intern_fix	Sort_Intern_fix	Dénoy_Pompage  	Désaturation   	Débordement    	Recharge_nappe 	Évaporat_Nappe 	Excès_Irrigat  	Stockage_Posit 	Stockage_Négat 	Rivière->Nappe 	Nappe->Rivière 	Éch_Phas_Posit 	Éch_Phas_Négat 	Drains->Nappe  	Nappe->Drains  	Lacs->Nappe    	Nappe->Lacs    	Transpir_Racin 	Écart_Volume   	%_Écart_Volum  	Glob_Limites   	Glob_Intern_fix	Glob_Stock     	Glob_Riv_Nappe 	Glob_Drain_Nap 	Glob_Lacs_Napp 	
31/08/1995 00:00	   243.0000    	   1981119.    	  -25747.38    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -1052401.    	   28388.62    	   0.000000    	   0.000000    	   14913.41    	   0.000000    	   3063884.    	  -3980330.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.3618467    	  9.0908719E-06	   1955372.    	   0.000000    	   14913.41    	  -916446.6    	   0.000000    	   0.000000    	
30/09/1995 00:00	   273.0000    	   3897054.    	  -50706.39    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -2080346.    	   74788.21    	   0.000000    	   0.000000    	   35345.42    	   0.000000    	   6032066.    	  -7837406.    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   105.3104    	      0.0013437	   3846348.    	   0.000000    	   35345.42    	  -1805339.    	   0.000000    	   0.000000    	
31/10/1995 00:00	   304.0000    	   5873131.    	  -76967.73    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -3152698.    	   144034.9    	   0.000000    	   0.000000    	   60975.49    	   0.000000    	   9103019.    	 -1.1829488E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   55.56618    	  4.6972602E-04	   5796163.    	   0.000000    	   60975.49    	  -2726469.    	   0.000000    	   0.000000    	
30/11/1995 00:00	   334.0000    	   7784465.    	  -102377.2    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -4189931.    	   198697.7    	   0.000000    	   0.000000    	   72244.60    	  -132.2406    	  1.2076657E+07	 -1.5695369E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   29.65753    	  1.8895720E-04	   7682088.    	   0.000000    	   72112.36    	  -3618713.    	   0.000000    	   0.000000    	
31/12/1995 00:00	   365.0000    	   9749629.    	  -130607.4    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -5263450.    	   270269.3    	   0.000000    	   0.000000    	   85167.82    	  -132.2444    	  1.5154501E+07	 -1.9693284E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   2021.709    	      0.0102660	   9619021.    	   0.000000    	   85035.58    	  -4538783.    	   0.000000    	   0.000000    	
31/01/1996 00:00	   396.0000    	  1.1677773E+07	  -166201.7    	   0.000000    	  -83498.69    	   0.000000    	   0.000000    	  -6333555.    	   428309.9    	   0.000000    	   0.000000    	   116625.2    	  -44415.07    	  1.8217098E+07	 -2.3665847E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   1868.252    	      0.0078943	  1.1511571E+07	  -83498.69    	   72210.17    	  -5448750.    	   0.000000    	   0.000000    	
29/02/1996 00:00	   425.0000    	  1.3454954E+07	  -203984.8    	   0.000000    	  -162100.1    	   0.000000    	   0.000000    	  -7333457.    	   620765.7    	   0.000000    	   0.000000    	   150339.9    	  -66028.94    	  2.1106250E+07	 -2.7385609E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   12507.65    	      0.0456724	  1.3250969E+07	  -162100.1    	   84311.00    	  -6279359.    	   0.000000    	   0.000000    	
31/03/1996 00:00	   456.0000    	  1.5321766E+07	  -249972.0    	   0.000000    	  -246771.9    	   0.000000    	   0.000000    	  -8408115.    	   884609.7    	   0.000000    	   0.000000    	   194760.9    	  -76327.67    	  2.4204606E+07	 -3.1378600E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   9089.175    	      0.0289662	  1.5071794E+07	  -246771.9    	   118433.3    	  -7173994.    	   0.000000    	   0.000000    	
30/04/1996 00:00	   486.0000    	  1.7140133E+07	  -290708.3    	   0.000000    	  -329097.9    	   0.000000    	   0.000000    	  -9443237.    	   1094080.    	   0.000000    	   0.000000    	   205849.8    	  -86205.55    	  2.7195507E+07	 -3.5240755E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   6277.845    	      0.0178142	  1.6849425E+07	  -329097.9    	   119644.2    	  -8045248.    	   0.000000    	   0.000000    	
31/05/1996 00:00	   517.0000    	  1.9036719E+07	  -329037.7    	   0.000000    	  -414375.1    	   0.000000    	   0.000000    	 -1.0507744E+07	   1273760.    	   0.000000    	   0.000000    	   209647.5    	  -102765.5    	  3.0276309E+07	 -3.9223976E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   4772.936    	      0.0121684	  1.8707681E+07	  -414375.1    	   106882.0    	  -8947667.    	   0.000000    	   0.000000    	
