<< La légende des termes est placée à la fin du fichier >>
 Projet Modifié (Lizonne.rma) [V7.8a]
Date (Flux)	Date (Flux)	Température	Flux_Pluie	Flux_Neige	Flux_ETP	Flux_ETR	Fl_ETR_Sol	Transpiration	Stock_Neige	Fl_Fonte_Neige	Ruissellement	Infiltration	Défic_Évapotra	Déficit_Sol	Défic_Sol_Prog	Réser_Interm.	Cum_Pluie	Cum_Neige	Cum_ETP	Cum_ETR	Cum_ETRSol	Cum_Transpir	Cum_Font_Neig	Cum_Ruissel.	Cum_Infiltr	Cum_Défic_Evap	LAI_ou_CC	Profon_Racines	
31/07/2003	  1.8316800E+07	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
01/08/2003	  1.8403200E+07	   0.000000    	   0.000000    	   0.000000    	   4.575229    	   4.574293    	   4.574293    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   4.574293    	   0.000000    	   0.000000    	   0.000000    	   4.575229    	   4.574293    	   4.574293    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	
07/08/2003	  1.8921600E+07	   0.000000    	   0.000000    	   0.000000    	   5.400127    	   4.245097    	   5.192009    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	 -0.9469122    	   0.000000    	   38.45095    	   0.000000    	   0.000000    	   0.000000    	   39.02904    	   30.04487    	   38.45095    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -8.406077    	   0.000000    	   0.000000    	
14/08/2003	  1.9526400E+07	   0.000000    	   0.000000    	   0.000000    	   3.538532    	   5.430600    	   3.040367    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   2.390234    	   0.000000    	   71.28362    	   0.000000    	      0.0422651	   0.000000    	   75.20133    	   68.05907    	   71.32589    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -3.266814    	   0.000000    	   0.000000    	
21/08/2003	  2.0131200E+07	   0.000000    	   0.000000    	   0.000000    	   3.395951    	   3.655945    	   2.780326    	   0.000000    	   0.000000    	   0.000000    	      0.0242232	      0.0353172	  0.8756198    	   0.000000    	   81.14733    	   3.820257    	   12.90860    	   0.000000    	   97.21835    	   93.65069    	   90.00184    	   0.000000    	   0.000000    	      0.0906401	  0.1431947    	   3.648853    	   0.000000    	   0.000000    	
28/08/2003	  2.0736000E+07	   0.000000    	   10.92097    	   0.000000    	   2.713319    	   2.167421    	   2.713319    	   0.000000    	   0.000000    	   0.000000    	      0.0223192	      0.0403810	 -0.5458980    	   0.000000    	   90.92193    	   5.561680    	   23.84597    	   0.000000    	   120.4270    	   108.8226    	   108.5863    	   0.000000    	   0.000000    	  0.2432696    	  0.3766803    	  0.2363721    	   0.000000    	   0.000000    	
04/09/2003	  2.1340800E+07	   0.000000    	   0.000000    	   0.000000    	   4.424170    	   1.303353    	   3.381676    	   0.000000    	   0.000000    	   0.000000    	      0.0622408	      0.0762478	  -2.078323    	   0.000000    	   93.44439    	   8.590924    	   40.51664    	   0.000000    	   138.7967    	   117.9461    	   123.7417    	   0.000000    	   0.000000    	  0.6950131    	  0.9333649    	  -5.795619    	   0.000000    	   0.000000    	
11/09/2003	  2.1945600E+07	   0.000000    	   2.199810    	   0.000000    	   1.956912    	   1.499514    	   1.880252    	   0.000000    	   0.000000    	   0.000000    	      0.0810908	      0.0854614	 -0.3807375    	   0.000000    	   93.04732    	   9.940243    	   54.84192    	   0.000000    	   152.2627    	   128.4427    	   135.2495    	   0.000000    	   0.000000    	   1.202915    	   1.496545    	  -6.806825    	   0.000000    	   0.000000    	
18/09/2003	  2.2550400E+07	   0.000000    	   0.000000    	   0.000000    	   3.656533    	   1.218912    	   2.504385    	   0.000000    	   0.000000    	   0.000000    	      0.0651054	      0.0728410	  -1.285473    	   0.000000    	   107.6455    	   8.900741    	   55.73512    	   0.000000    	   173.4782    	   136.9751    	   150.7283    	   0.000000    	   0.000000    	   1.706601    	   2.044895    	  -13.75325    	   0.000000    	   0.000000    	
25/09/2003	  2.3155200E+07	   0.000000    	   0.000000    	   0.000000    	   2.311705    	   2.399446    	   1.417659    	   0.000000    	   0.000000    	   0.000000    	      0.0544988	      0.0640893	  0.9817868    	   0.000000    	   118.9196    	   8.179907    	   60.01895    	   0.000000    	   195.5768    	   153.7712    	   166.1238    	   0.000000    	   0.000000    	   2.117185    	   2.517692    	  -12.35257    	   0.000000    	   0.000000    	
