obsnme,obsval,weight,obgnme
loc001n0001,-9999.0,0.0,08555X0002
loc001n0002,-9999.0,0.0,08555X0002
loc001n0003,-9999.0,0.0,08555X0002
loc001n0004,-9999.0,0.0,08555X0002
loc001n0005,-9999.0,0.0,08555X0002
loc001n0006,-9999.0,0.0,08555X0002
loc001n0007,-9999.0,0.0,08555X0002
loc001n0008,-9999.0,0.0,08555X0002
loc001n0009,-9999.0,0.0,08555X0002
loc001n0010,-9999.0,0.0,08555X0002
loc001n0011,-9999.0,0.0,08555X0002
loc001n0012,-9999.0,0.0,08555X0002
loc001n0013,-9999.0,0.0,08555X0002
loc001n0014,-9999.0,0.0,08555X0002
loc001n0015,86.11625000000002,34.61330448891191,08555X0002
loc001n0016,86.08888888888889,39.15407854984901,08555X0002
loc001n0017,86.02166666666666,0.005337805151379301,08555X0002
loc001n0018,84.1,0.005337805151379301,08555X0002
loc001n0019,82.5,0.005337805151379301,08555X0002
loc001n0020,82.5,0.005337805151379301,08555X0002
loc001n0021,82.275,0.005337805151379301,08555X0002
loc001n0022,-9999.0,0.0,08555X0002
loc001n0023,82.3,0.005337805151379301,08555X0002
loc001n0024,84.11,0.005337805151379301,08555X0002
loc001n0025,73.49,0.005337805151379301,08555X0002
loc001n0026,-9999.0,0.0,08555X0002
loc001n0027,-9999.0,0.0,08555X0002
loc001n0028,-9999.0,0.0,08555X0002
loc001n0029,-9999.0,0.0,08555X0002
loc001n0030,-9999.0,0.0,08555X0002
loc001n0031,-9999.0,0.0,08555X0002
loc001n0032,-9999.0,0.0,08555X0002
loc001n0033,-9999.0,0.0,08555X0002
loc001n0034,-9999.0,0.0,08555X0002
loc001n0035,-9999.0,0.0,08555X0002
loc001n0036,-9999.0,0.0,08555X0002
loc001n0037,-9999.0,0.0,08555X0002
loc001n0038,-9999.0,0.0,08555X0002
loc001n0039,-9999.0,0.0,08555X0002
loc001n0040,-9999.0,0.0,08555X0002
loc002n0001,-9999.0,0.0,08275X0025
loc002n0002,-9999.0,0.0,08275X0025
loc002n0003,-9999.0,0.0,08275X0025
loc002n0004,-9999.0,0.0,08275X0025
loc002n0005,-9999.0,0.0,08275X0025
loc002n0006,-9999.0,0.0,08275X0025
loc002n0007,-9999.0,0.0,08275X0025
loc002n0008,-9999.0,0.0,08275X0025
loc002n0009,58.39,0.0213429291602374,08275X0025
loc002n0010,58.39833333333334,1.1054338213618888,08275X0025
loc002n0011,58.386,0.7839415325952455,08275X0025
loc002n0012,58.40166666666667,0.7783949025355235,08275X0025
loc002n0013,58.27416666666666,0.7350462633663326,08275X0025
loc002n0014,58.13083333333334,0.5105898395716426,08275X0025
loc002n0015,57.909000000000006,0.4572657701818838,08275X0025
loc002n0016,58.11,1.517808958445745,08275X0025
loc002n0017,58.11000000000001,1.3510061311114698,08275X0025
loc002n0018,57.66454545454545,1.472621412158741,08275X0025
loc002n0019,57.790000000000006,2.6196463953665297,08275X0025
loc002n0020,57.87583333333333,3.101756408730046,08275X0025
loc002n0021,58.0725,0.0213429291602374,08275X0025
loc002n0022,58.17583333333332,4.486174426086916,08275X0025
loc002n0023,58.17250000000001,2.1348445445018083,08275X0025
loc002n0024,58.03583333333333,1.6632449741441124,08275X0025
loc002n0025,58.04333333333333,2.4040329473929587,08275X0025
loc002n0026,57.94416666666668,2.1564211250854832,08275X0025
loc002n0027,58.025833333333324,1.4208989841290025,08275X0025
loc002n0028,58.173571428571435,2.7612957369408515,08275X0025
loc002n0029,58.08916666666667,1.7175393732889588,08275X0025
loc002n0030,58.00090909090909,1.240844414108114,08275X0025
loc002n0031,57.92,2.6981946624803697,08275X0025
loc002n0032,57.85615384615385,1.983555658493508,08275X0025
loc002n0033,57.85416666666666,1.5382081584074694,08275X0025
loc002n0034,57.84333333333334,2.101732336956514,08275X0025
loc002n0035,57.91833333333334,1.6703335267995705,08275X0025
loc002n0036,57.9125,1.9109386762406584,08275X0025
loc002n0037,57.94833333333333,1.940476377150221,08275X0025
loc002n0038,57.79315126050418,9.920443045604202,08275X0025
loc002n0039,57.904712328767204,10.3459933208919,08275X0025
loc002n0040,57.76980821917813,10.213983829633902,08275X0025
loc003n0001,-9999.0,0.0,08302X0011
loc003n0002,-9999.0,0.0,08302X0011
loc003n0003,-9999.0,0.0,08302X0011
loc003n0004,-9999.0,0.0,08302X0011
loc003n0005,-9999.0,0.0,08302X0011
loc003n0006,-9999.0,0.0,08302X0011
loc003n0007,-9999.0,0.0,08302X0011
loc003n0008,-9999.0,0.0,08302X0011
loc003n0009,-9999.0,0.0,08302X0011
loc003n0010,-9999.0,0.0,08302X0011
loc003n0011,-9999.0,0.0,08302X0011
loc003n0012,-9999.0,0.0,08302X0011
loc003n0013,-9999.0,0.0,08302X0011
loc003n0014,-9999.0,0.0,08302X0011
loc003n0015,-9999.0,0.0,08302X0011
loc003n0016,-9999.0,0.0,08302X0011
loc003n0017,-9999.0,0.0,08302X0011
loc003n0018,38.49,0.00610449285486193,08302X0011
loc003n0019,-9999.0,0.0,08302X0011
loc003n0020,-9999.0,0.0,08302X0011
loc003n0021,39.17,0.00610449285486193,08302X0011
loc003n0022,30.21,0.00610449285486193,08302X0011
loc003n0023,26.07,0.00610449285486193,08302X0011
loc003n0024,24.67,0.00610449285486193,08302X0011
loc003n0025,25.78,0.00610449285486193,08302X0011
loc003n0026,-9999.0,0.0,08302X0011
loc003n0027,-9999.0,0.0,08302X0011
loc003n0028,-9999.0,0.0,08302X0011
loc003n0029,-9999.0,0.0,08302X0011
loc003n0030,-9999.0,0.0,08302X0011
loc003n0031,-9999.0,0.0,08302X0011
loc003n0032,-9999.0,0.0,08302X0011
loc003n0033,-9999.0,0.0,08302X0011
loc003n0034,-9999.0,0.0,08302X0011
loc003n0035,-9999.0,0.0,08302X0011
loc003n0036,-9999.0,0.0,08302X0011
loc003n0037,-9999.0,0.0,08302X0011
loc003n0038,-9999.0,0.0,08302X0011
loc003n0039,19.572857142857146,0.5513117469156549,08302X0011
loc003n0040,17.809166666666666,0.3223040769675156,08302X0011
loc004n0001,-9999.0,0.0,08284X0011
loc004n0002,-9999.0,0.0,08284X0011
loc004n0003,-9999.0,0.0,08284X0011
loc004n0004,-9999.0,0.0,08284X0011
loc004n0005,-9999.0,0.0,08284X0011
loc004n0006,-9999.0,0.0,08284X0011
loc004n0007,-9999.0,0.0,08284X0011
loc004n0008,-9999.0,0.0,08284X0011
loc004n0009,-9999.0,0.0,08284X0011
loc004n0010,-9999.0,0.0,08284X0011
loc004n0011,-9999.0,0.0,08284X0011
loc004n0012,-9999.0,0.0,08284X0011
loc004n0013,-9999.0,0.0,08284X0011
loc004n0014,-9999.0,0.0,08284X0011
loc004n0015,11.84,0.0033781471474853986,08284X0011
loc004n0016,-9999.0,0.0,08284X0011
loc004n0017,8.956666666666663,0.0033781471474853986,08284X0011
loc004n0018,-9999.0,0.0,08284X0011
loc004n0019,-9999.0,0.0,08284X0011
loc004n0020,4.416666666666667,0.0033781471474853986,08284X0011
loc004n0021,4.386666666666667,0.0033781471474853986,08284X0011
loc004n0022,3.846666666666666,0.0033781471474853986,08284X0011
loc004n0023,-9999.0,0.0,08284X0011
loc004n0024,2.9333333333333336,0.0033781471474853986,08284X0011
loc004n0025,2.67,0.0033781471474853986,08284X0011
loc004n0026,2.516666666666667,0.0033781471474853986,08284X0011
loc004n0027,2.515,0.0033781471474853986,08284X0011
loc004n0028,1.44,0.0033781471474853986,08284X0011
loc004n0029,1.23,0.0033781471474853986,08284X0011
loc004n0030,-9999.0,0.0,08284X0011
loc004n0031,0.38,0.0033781471474853986,08284X0011
loc004n0032,-9999.0,0.0,08284X0011
loc004n0033,-9999.0,0.0,08284X0011
loc004n0034,-9999.0,0.0,08284X0011
loc004n0035,-2.23,0.0033781471474853986,08284X0011
loc004n0036,-2.15,0.0033781471474853986,08284X0011
loc004n0037,-1.75,0.0033781471474853986,08284X0011
loc004n0038,-2.28,0.0033781471474853986,08284X0011
loc004n0039,-2.28,0.0033781471474853986,08284X0011
loc004n0040,-2.63,0.0033781471474853986,08284X0011
loc005n0001,-9999.0,0.0,09273X0205
loc005n0002,-9999.0,0.0,09273X0205
loc005n0003,-9999.0,0.0,09273X0205
loc005n0004,-9999.0,0.0,09273X0205
loc005n0005,-9999.0,0.0,09273X0205
loc005n0006,-9999.0,0.0,09273X0205
loc005n0007,-9999.0,0.0,09273X0205
loc005n0008,-9999.0,0.0,09273X0205
loc005n0009,-9999.0,0.0,09273X0205
loc005n0010,-9999.0,0.0,09273X0205
loc005n0011,-9999.0,0.0,09273X0205
loc005n0012,-9999.0,0.0,09273X0205
loc005n0013,-9999.0,0.0,09273X0205
loc005n0014,-9999.0,0.0,09273X0205
loc005n0015,-9999.0,0.0,09273X0205
loc005n0016,-9999.0,0.0,09273X0205
loc005n0017,-9999.0,0.0,09273X0205
loc005n0018,-9999.0,0.0,09273X0205
loc005n0019,-9999.0,0.0,09273X0205
loc005n0020,-9999.0,0.0,09273X0205
loc005n0021,-9999.0,0.0,09273X0205
loc005n0022,-9999.0,0.0,09273X0205
loc005n0023,-9999.0,0.0,09273X0205
loc005n0024,-9999.0,0.0,09273X0205
loc005n0025,-9999.0,0.0,09273X0205
loc005n0026,-9999.0,0.0,09273X0205
loc005n0027,-9999.0,0.0,09273X0205
loc005n0028,-9999.0,0.0,09273X0205
loc005n0029,-9999.0,0.0,09273X0205
loc005n0030,-9999.0,0.0,09273X0205
loc005n0031,-9999.0,0.0,09273X0205
loc005n0032,-9999.0,0.0,09273X0205
loc005n0033,7.1083333333333325,7.915314134032641,09273X0205
loc005n0034,6.03,13.285024154589376,09273X0205
loc005n0035,5.054166666666666,9.915319168114737,09273X0205
loc005n0036,3.6395238095238094,49.033560748245456,09273X0205
loc005n0037,3.7295016611295653,49.53120872125924,09273X0205
loc005n0038,3.4652132701421814,47.35007747994678,09273X0205
loc005n0039,2.91586776859504,47.09209193493884,09273X0205
loc005n0040,2.377589041095892,48.51501854876227,09273X0205
loc006n0001,-9999.0,0.0,08753X0010
loc006n0002,-9999.0,0.0,08753X0010
loc006n0003,-9999.0,0.0,08753X0010
loc006n0004,-9999.0,0.0,08753X0010
loc006n0005,-9999.0,0.0,08753X0010
loc006n0006,-9999.0,0.0,08753X0010
loc006n0007,-9999.0,0.0,08753X0010
loc006n0008,-9999.0,0.0,08753X0010
loc006n0009,-9999.0,0.0,08753X0010
loc006n0010,-9999.0,0.0,08753X0010
loc006n0011,-9999.0,0.0,08753X0010
loc006n0012,-9999.0,0.0,08753X0010
loc006n0013,-9999.0,0.0,08753X0010
loc006n0014,-9999.0,0.0,08753X0010
loc006n0015,-9999.0,0.0,08753X0010
loc006n0016,-9999.0,0.0,08753X0010
loc006n0017,-9999.0,0.0,08753X0010
loc006n0018,46.45,0.045531582208506456,08753X0010
loc006n0019,45.95,0.045531582208506456,08753X0010
loc006n0020,-9999.0,0.0,08753X0010
loc006n0021,-9999.0,0.0,08753X0010
loc006n0022,-9999.0,0.0,08753X0010
loc006n0023,-9999.0,0.0,08753X0010
loc006n0024,-9999.0,0.0,08753X0010
loc006n0025,-9999.0,0.0,08753X0010
loc006n0026,-9999.0,0.0,08753X0010
loc006n0027,-9999.0,0.0,08753X0010
loc006n0028,46.16,0.045531582208506456,08753X0010
loc006n0029,46.3275,0.045531582208506456,08753X0010
loc006n0030,46.95399999999999,0.045531582208506456,08753X0010
loc006n0031,46.225,0.045531582208506456,08753X0010
loc006n0032,46.0525,0.045531582208506456,08753X0010
loc006n0033,46.2,0.045531582208506456,08753X0010
loc006n0034,45.8975,0.045531582208506456,08753X0010
loc006n0035,45.83000000000001,0.045531582208506456,08753X0010
loc006n0036,45.95250000000001,0.045531582208506456,08753X0010
loc006n0037,45.7325,0.045531582208506456,08753X0010
loc006n0038,46.275,0.045531582208506456,08753X0010
loc006n0039,46.2,0.045531582208506456,08753X0010
loc006n0040,46.01,0.045531582208506456,08753X0010
loc007n0001,-9999.0,0.0,08071X0026
loc007n0002,-9999.0,0.0,08071X0026
loc007n0003,-9999.0,0.0,08071X0026
loc007n0004,-9999.0,0.0,08071X0026
loc007n0005,-9999.0,0.0,08071X0026
loc007n0006,-9999.0,0.0,08071X0026
loc007n0007,-9999.0,0.0,08071X0026
loc007n0008,-9999.0,0.0,08071X0026
loc007n0009,-9999.0,0.0,08071X0026
loc007n0010,-9999.0,0.0,08071X0026
loc007n0011,-9999.0,0.0,08071X0026
loc007n0012,-9999.0,0.0,08071X0026
loc007n0013,-9999.0,0.0,08071X0026
loc007n0014,-9999.0,0.0,08071X0026
loc007n0015,-9999.0,0.0,08071X0026
loc007n0016,-9999.0,0.0,08071X0026
loc007n0017,-9999.0,0.0,08071X0026
loc007n0018,-9999.0,0.0,08071X0026
loc007n0019,-9999.0,0.0,08071X0026
loc007n0020,-9999.0,0.0,08071X0026
loc007n0021,-9999.0,0.0,08071X0026
loc007n0022,-9999.0,0.0,08071X0026
loc007n0023,-9999.0,0.0,08071X0026
loc007n0024,-9999.0,0.0,08071X0026
loc007n0025,160.49,0.0037566109876073415,08071X0026
loc007n0026,-9999.0,0.0,08071X0026
loc007n0027,-9999.0,0.0,08071X0026
loc007n0028,-9999.0,0.0,08071X0026
loc007n0029,161.48,0.0037566109876073415,08071X0026
loc007n0030,158.94,0.0037566109876073415,08071X0026
loc007n0031,159.48571428571432,0.7194881942755375,08071X0026
loc007n0032,160.08369230769233,5.353025213840387,08071X0026
loc007n0033,160.35048387096776,5.621853697470389,08071X0026
loc007n0034,159.69602816901426,9.445725904079103,08071X0026
loc007n0035,159.6325205479451,10.95262689646815,08071X0026
loc007n0036,160.3878041543027,10.698460938562024,08071X0026
loc007n0037,160.31906474820138,9.209891576471927,08071X0026
loc007n0038,160.11747222222226,11.578909781122045,08071X0026
loc007n0039,160.34958904109578,13.211493913997648,08071X0026
loc007n0040,159.27112328767132,11.871079066804516,08071X0026
loc008n0001,-9999.0,0.0,07326X0028
loc008n0002,-9999.0,0.0,07326X0028
loc008n0003,-9999.0,0.0,07326X0028
loc008n0004,-9999.0,0.0,07326X0028
loc008n0005,-9999.0,0.0,07326X0028
loc008n0006,-9999.0,0.0,07326X0028
loc008n0007,-9999.0,0.0,07326X0028
loc008n0008,-9999.0,0.0,07326X0028
loc008n0009,-9999.0,0.0,07326X0028
loc008n0010,-9999.0,0.0,07326X0028
loc008n0011,-9999.0,0.0,07326X0028
loc008n0012,-9999.0,0.0,07326X0028
loc008n0013,-9999.0,0.0,07326X0028
loc008n0014,-9999.0,0.0,07326X0028
loc008n0015,-9999.0,0.0,07326X0028
loc008n0016,-9999.0,0.0,07326X0028
loc008n0017,-9999.0,0.0,07326X0028
loc008n0018,-9999.0,0.0,07326X0028
loc008n0019,-9999.0,0.0,07326X0028
loc008n0020,-9999.0,0.0,07326X0028
loc008n0021,43.705324675324675,3.243135991675528,07326X0028
loc008n0022,43.313260273972595,8.91859072996135,07326X0028
loc008n0023,45.5456346749226,8.6134967594844,07326X0028
loc008n0024,44.2550964187328,1.4791338619108048,07326X0028
loc008n0025,41.639123287671225,2.7716217250277806,07326X0028
loc008n0026,40.9938596491228,5.470261296148368,07326X0028
loc008n0027,42.69398860398862,4.213017819013951,07326X0028
loc008n0028,42.78816438356164,9.855014677637133,07326X0028
loc008n0029,43.814314868804665,5.4030844225281225,07326X0028
loc008n0030,44.62084931506852,2.8854168061608942,07326X0028
loc008n0031,40.398407079646006,5.9343653055385355,07326X0028
loc008n0032,40.39252840909091,3.2215980577768635,07326X0028
loc008n0033,40.73802777777777,2.703163869144833,07326X0028
