Year	Mean	Fluct	Weight
1972-12-31	-9999.0	-9999.0	0.0
1973-12-31	-9999.0	-9999.0	0.0
1974-12-31	-9999.0	-9999.0	0.0
1975-12-31	-9999.0	-9999.0	0.0
1976-12-31	-9999.0	-9999.0	0.0
1977-12-31	-9999.0	-9999.0	0.0
1978-12-31	-9999.0	-9999.0	0.0
1979-12-31	-9999.0	-9999.0	0.0
1980-12-31	-9999.0	-9999.0	0.0
1981-12-31	-9999.0	-9999.0	0.0
1982-12-31	-9999.0	-9999.0	0.0
1983-12-31	-9999.0	-9999.0	0.0
1984-12-31	-9999.0	-9999.0	0.0
1985-12-31	-9999.0	-9999.0	0.0
1986-12-31	-9999.0	-9999.0	0.0
1987-12-31	-9999.0	-9999.0	0.0
1988-12-31	68.9	11.964057224933896	0.012832815158166703
1989-12-31	-9999.0	-9999.0	0.0
1990-12-31	52.400000000000006	-4.535942775066104	0.03718786521640917
1991-12-31	54.93333333333334	-2.0026094417327727	0.05967450076111233
1992-12-31	54.31666666666667	-2.61927610839944	0.05992381444294343
1993-12-31	57.67500000000001	0.7390572249339016	0.05957672429070298
1994-12-31	63.45454545454545	6.5186026794793435	0.03692328914999201
1995-12-31	63.24999999999999	6.314057224933883	0.04312875364048411
1996-12-31	60.2	3.264057224933893	0.012832815158166703
1997-12-31	-9999.0	-9999.0	0.0
1998-12-31	-9999.0	-9999.0	0.0
1999-12-31	-9999.0	-9999.0	0.0
2000-12-31	-9999.0	-9999.0	0.0
2001-12-31	-9999.0	-9999.0	0.0
2002-12-31	54.86	-2.0759427750661104	0.012832815158166703
2003-12-31	56.2	-0.735942775066107	0.012832815158166703
2004-12-31	58.0	1.0640572249338902	0.012832815158166703
2005-12-31	52.025000000000006	-4.910942775066104	0.012832815158166703
2006-12-31	54.84	-2.0959427750661064	0.012832815158166703
2007-12-31	53.96	-2.975942775066109	0.012832815158166703
2008-12-31	57.4025	0.4665572249338936	0.012832815158166703
2009-12-31	56.46	-0.47594277506610894	0.012832815158166703
2010-12-31	54.81375000000001	-2.1221927750660967	0.22146733563334
2011-12-31	51.15617449664434	-5.77976827842177	0.24779930374023548
